Fluidity One-M Results File,,,,,,,,,,,,,,,,,,,,,,
Datafile version,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,F1M-042,,,,,,,,,,,,,,,,,,,,,
Instrument Software Version,1.8.911-11359,,,,,,,,,,,,,,,,,,,,,
User Name,Guest,,,,,,,,,,,,,,,,,,,,,
User ID,,,,,,,,,,,,,,,,,,,,,,
Protocol Type,KD determination,,,,,,,,,,,,,,,,,,,,,
Protocol Name,OPTN WT 1.00 µM/GSTLC3B ,,,,,,,,,,,,,,,,,,,,,
Protocol ID,f7bb1a63-76bb-4a22-b58d-5632f6fcc952,,,,,,,,,,,,,,,,,,,,,
Protocol Warnings,[None],,,,,,,,,,,,,,,,,,,,,
Protocol Errors,[None],,,,,,,,,,,,,,,,,,,,,
Protocol Quality Concerns,[None],,,,,,,,,,,,,,,,,,,,,
Chip Plate Batch Serial Number,7,,,,,,,,,,,,,,,,,,,,,
Chip Plate Batch Number,262023,,,,,,,,,,,,,,,,,,,,,
Chip Plate Expiry Date,2023-12-12,,,,,,,,,,,,,,,,,,,,,
Run ID,a90cc61c-f6d3-4c10-8987-b1c669974b00,,,,,,,,,,,,,,,,,,,,,
Run Start Timestamp,Wed Nov 08 10:17:28 GMT 2023,,,,,,,,,,,,,,,,,,,,,
Run End Timestamp,Wed Nov 08 10:29:00 GMT 2023,,,,,,,,,,,,,,,,,,,,,
Run Temperature C,25.00,,,,,,,,,,,,,,,,,,,,,
Run Errors,[Error 39],,,,,,,,,,,,,,,,,,,,,
Run Warnings,[None],,,,,,,,,,,,,,,,,,,,,
Run Quality Concerns,[None],,,,,,,,,,,,,,,,,,,,,
Binding KD nM,71.68839263916016,,,,,,,,,,,,,,,,,,,,,
Binding Rh free,1.1815249919891357,,,,,,,,,,,,,,,,,,,,,
Binding Rh complex,3.8301985263824463,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Circuit ID,Labeled Species Name,Labeled Species Concentration uM,Unlabeled Species Name,Unlabeled Species Concentration uM,Third Species Name,Third Species Concentration in uM,Complex Mixture Name,Complex Mixture Dilution Percentage,Flow Buffer Name,Dilutant Buffer Name,Color Setting,Viscosity Setting,Size Setting,Sample Radius nm,Total Intensity A.U.,Circuit Status,Diffused Raw Empty Mcps per uW,Diffused Raw Filled Mcps per uW,Diffused Compensated Net Signal Mcps per uW,Undiffused Raw Empty Mcps per uW,Undiffused Raw Filled Mcps per uW,Undiffused Compensated Net Signal Mcps per uW
A1
B1
C1
D1
E1
F1
G1
H1
A2
B2
C2
D2
E2,OPTN WT,1.00,GSTLC3B,359,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),3.25,22.9,,0.00307,6.49,6.49,0.00292,16.4,16.4
F2,OPTN WT,1.00,GSTLC3B,180,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),3.22,23.7,,0.00277,8.03,7.25,0.00300,18.2,16.4
G2,OPTN WT,1.00,GSTLC3B,89.8,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),2.77,24.7,,0.00299,8.13,7.78,0.00292,17.7,16.9
H2,OPTN WT,1.00,GSTLC3B,44.9,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),2.16,27.8,,0.00281,8.93,9.47,0.00416,17.3,18.3
A3,OPTN WT,1.00,GSTLC3B,22.4,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.65,27.1,,0.00329,8.89,10.0,0.00341,15.1,17.0
B3,OPTN WT,1.00,GSTLC3B,11.2,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.44,29.1,,0.00321,12.0,11.9,0.00344,17.4,17.2
C3,OPTN WT,1.00,GSTLC3B,5.61,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.46,31.5,,0.00311,12.0,12.5,0.00302,18.2,19.0
D3,OPTN WT,1.00,GSTLC3B,2.80,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.34,31.3,,0.00299,12.5,12.9,0.00291,17.7,18.4
E3,OPTN WT,1.00,GSTLC3B,1.40,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.18,30.5,,0.00305,13.0,13.3,0.00346,16.8,17.2
F3,OPTN WT,1.00,GSTLC3B,0.701,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.28,29.4,,0.00291,13.8,12.5,0.00334,18.6,16.9
G3,OPTN WT,1.00,GSTLC3B,0.351,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),,30.2,Error 39,0.00316,14.4,13.9,0.00332,16.8,16.3
H3,OPTN WT,1.00,GSTLC3B,0.175,,,,,tbst dtt,tbst dtt,GREEN,SETTING 1,XSMALL (1.0-4.7 nm),1.18,32.8,,0.00321,13.5,14.2,0.00350,17.6,18.6
